768259;Katowice 2019 Legends Autograph Capsule;34.4
34016;AUG | Contractor (Field-Tested);0.14
42032;Tec-9 | Red Quartz (Minimal Wear);1.61
911214;Sticker | GamerLegion | Rio 2022;0.07
35753;Negev | Dazzle (Field-Tested);0.43
35245;M4A1-S | Nitro (Minimal Wear);20.1
769137;AUG | Momentum (Field-Tested);13.6
36537;SSG 08 | Blue Spruce (Field-Tested);0.13
34123;AWP | Pit Viper (Minimal Wear);5.85
774678;Sticker | Mastermind;0.79
772297;Berlin 2019 Minor Challengers (Holo-Foil);7.68
875861;Sticker | Copenhagen Flames | Stockholm 2021;1.33
762081;PP-Bizon | Facility Sketch (Minimal Wear);0.29
34413;Desert Eagle | Directive (Field-Tested);2.61
42192;USP-S | Neo-Noir (Field-Tested);122
42342;XM1014 | Ziggy (Field-Tested);3.12
762061;UMP-45 | Facility Dark (Factory New);0.59
39104;StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You;101
762058;MP5-SD | Dirt Drop (Field-Tested);0.17
41999;Tec-9 | Groundwater (Minimal Wear);0.24
911086;Sticker | Fnatic | Rio 2022;0.06
36323;Perfect World Sticker Capsule 2;5.29
35175;M4A1-S | Boreal Forest (Minimal Wear);2.98
835541;AWP | Exoskeleton (Minimal Wear);25
911210;Sticker | Bad News Eagles | Rio 2022;0.06
910993;Sticker | BIG | Rio 2022;0.06
33852;Dual Berettas | Contractor (Field-Tested);0.13
762088;P250 | Facility Draft (Factory New);0.6
911232;Sticker | Grayhound Gaming | Rio 2022;0.06
835382;Sir Bloody Loudmouth Darryl | The Professionals;250.5
911208;Sticker | OG | Rio 2022;0.06
34114;AWP | Phobos (Minimal Wear);9.51
774786;Markus Delrow | FBI HRT;12.79
763331;G3SG1 | Scavenger (Field-Tested);3.42
771988;Sticker | Natus Vincere | Berlin 2019;2.51
36518;SG 553 | Waves Perforated (Field-Tested);0.13
875857;Sticker | FaZe Clan | Stockholm 2021;0.87
33810;Nova | Sand Dune (Field-Tested);0.13
857558;CZ75-Auto | Circaetus (Field-Tested);0.86
33946;AK-47 | Point Disarray (Field-Tested);85.5
894177;Sticker | Bad News Eagles | Antwerp 2022;0.17
762070;MP9 | Slide (Field-Tested);0.21
36377;SCAR-20 | Contractor (Field-Tested);0.13
36479;SG 553 | Phantom (Field-Tested);3.19
876993;Stockholm 2021 Ancient Souvenir Package;30.2
769801;Feral Predators Capsule;5.36
35199;M4A1-S | Decimator (Minimal Wear);100.5
781557;P250 | Cassette (Minimal Wear);1.29
36307;PP-Bizon | Sand Dashed (Field-Tested);0.14
835367;MAG-7 | Carbon Fiber (Factory New);8.68
878846;Sticker | Boombl4 (Holo) | Stockholm 2021;1.88
847266;Sticker | Vitality (Foil) | 2020 RMR;2.89
921398;Sticker | Fireball;0.13
847294;Sticker | North (Holo) | 2020 RMR;1.89
871121;M4A1-S | Fizzy POP (Field-Tested);4.54
779224;SSG 08 | Fever Dream (Minimal Wear);6.74
774864;Operator | FBI SWAT;18.9
33833;USP-S | Torque (Factory New);10.83
921380;Sticker | Spectators;0.11
759244;Desert Eagle | Code Red (Field-Tested);183
857525;Nova | Windblown (Factory New);2.99
36558;SSG 08 | Ghost Crusader (Field-Tested);3.18
762089;Five-SeveN | Coolant (Minimal Wear);0.26
33868;AK-47 | Bloodsport (Factory New);995.5
781554;SSG 08 | Mainframe 001 (Field-Tested);0.49
878848;Sticker | Perfecto (Holo) | Stockholm 2021;1.85
763273;P250 | Nevermore (Factory New);9.96
39443;StatTrak™ Radicals Box;45.91
876869;Souvenir PP-Bizon | Anolis (Field-Tested);0.11
33906;AK-47 | Frontside Misty (Field-Tested);109.5
779217;Desert Eagle | Blue Ply (Field-Tested);0.95
34657;FAMAS | Mecha Industries (Field-Tested);18.7
781556;P2000 | Gnarled (Minimal Wear);0.89
847292;Sticker | Boom (Holo) | 2020 RMR;1.31
871382;USP-S | Black Lotus (Minimal Wear);9.96
774902;Osiris | Elite Crew;9.56
762059;AUG | Sweeper (Field-Tested);0.16
34756;Five-SeveN | Monkey Business (Field-Tested);18.1
835615;Sticker | Stone Scales (Foil);16.55
921404;Sticker | Well Played;0.07
871442;MP9 | Mount Fuji (Field-Tested);8.97
779203;SCAR-20 | Enforcer (Field-Tested);3.69
886673;XM1014 | Zombie Offensive (Field-Tested);2.31
35203;M4A1-S | Flashback (Field-Tested);5.23
42031;Tec-9 | Red Quartz (Field-Tested);1.42
45271;MP9 | Black Sand (Battle-Scarred);0.36
35560;MP7 | Army Recon (Field-Tested);0.13
33971;AK-47 | The Empress (Minimal Wear);363.5
34045;AUG | Storm (Field-Tested);0.16
34671;FAMAS | Roll Cage (Field-Tested);23
835613;Sir Bloody Darryl Royale | The Professionals;159.5
847226;Sticker | FURIA (Foil) | 2020 RMR;3.15
33869;AK-47 | Bloodsport (Field-Tested);599.5
857551;UMP-45 | Oscillator (Field-Tested);0.77
781539;SG 553 | Ol' Rusty (Minimal Wear);0.89
762080;Nova | Mandrel (Factory New);0.58
876856;Souvenir MAG-7 | Navy Sheen (Field-Tested);0.1
781537;PP-Bizon | Runic (Field-Tested);0.5
871495;MP9 | Mount Fuji (Minimal Wear);21.9
835404;Rezan the Redshirt | Sabre;19.4
35569;MP7 | Cirrus (Minimal Wear);2.07
873651;Music Kit | bbno$, u mad!;27.1
775146;AK-47 | Rat Rod (Field-Tested);25.1
41006;Sticker | Unicorn (Holo);20
781540;P2000 | Gnarled (Field-Tested);0.55
871502;M4A4 | Spider Lily (Field-Tested);16.36
781587;PP-Bizon | Runic (Minimal Wear);0.87
781589;MAC-10 | Allure (Minimal Wear);6.9
35568;MP7 | Cirrus (Field-Tested);0.91
876871;Souvenir MAC-10 | Sienna Damask (Field-Tested);0.12
763246;SG 553 | Danger Close (Field-Tested);0.59
34128;AWP | Safari Mesh (Battle-Scarred);1.69
33814;P250 | Boreal Forest (Field-Tested);0.15
779210;Sawed-Off | Apocalypto (Field-Tested);3.37
769173;XM1014 | Incinegator (Field-Tested);11.08
